Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.107050, 0.012616, 0.060803, 0.026614,0.945855, 0.992859, 0.978773, 0.035671,0.448553,0.520911,0.484596,0.494931
500,0.987944, 0.031236, 0.057067, 0.588482,0.920113, 0.110736, 0.041047, 0.508610,0.984973,0.030935,0.059533,0.582524
1000,0.987526, 0.002000, 0.002000, 0.661496,0.913062, 0.002000, 0.096837, 0.705235,0.987246,0.033750,0.059275,0.594670
1500,0.987943, 0.031231, 0.057064, 0.588507,0.918618, 0.002000, 0.018565, 0.581075,0.985713,0.036299,0.055069,0.589038
2000,0.990885, 0.047512, 0.042117, 0.687776,0.903281, 0.144744, 0.047044, 0.652557,0.987520,0.046090,0.046566,0.691028
2500,0.990886, 0.047521, 0.042113, 0.687808,0.879719, 0.069291, 0.068100, 0.681041,0.985079,0.052135,0.042651,0.689505
3000,0.990886, 0.047521, 0.042113, 0.687808,0.911876, 0.102474, 0.101563, 0.632546,0.988211,0.047794,0.046341,0.689090
3500,0.992351, 0.037880, 0.049412, 0.733075,0.908492, 0.086109, 0.127332, 0.699417,0.988176,0.040814,0.046721,0.723668
4000,0.992348, 0.037888, 0.049427, 0.733047,0.897220, 0.002000, 0.132656, 0.790874,0.986859,0.040597,0.052641,0.736256
4500,0.992348, 0.037888, 0.049427, 0.733047,0.904192, 0.137743, 0.010770, 0.739364,0.988885,0.041412,0.049073,0.732698
5000,0.998000, 0.002000, 0.002000, 0.760850,0.910733, 0.088399, 0.093770, 0.746846,0.987376,0.039421,0.052920,0.734639
5500,0.992348, 0.037888, 0.049427, 0.733047,0.873745, 0.068475, 0.141827, 0.762278,0.988578,0.041021,0.050030,0.734485
6000,0.992348, 0.037888, 0.049427, 0.733047,0.930216, 0.026848, 0.145583, 0.799525,0.988876,0.038324,0.049674,0.737828
6500,0.992540, 0.039923, 0.049723, 0.741149,0.902418, 0.010244, 0.062355, 0.814345,0.989165,0.045547,0.050661,0.742233
7000,0.992536, 0.039882, 0.049712, 0.740962,0.966938, 0.212641, 0.002000, 0.792409,0.990845,0.041385,0.051004,0.740454
7500,0.992536, 0.039882, 0.049712, 0.740962,0.920502, 0.203957, 0.170962, 0.628016,0.986300,0.046482,0.055696,0.737856
8000,0.992536, 0.039882, 0.049712, 0.740962,0.898517, 0.060578, 0.214342, 0.998000,0.988853,0.043808,0.055327,0.746252
8500,0.992536, 0.039882, 0.049712, 0.740962,0.937224, 0.060892, 0.067285, 0.710681,0.989490,0.041099,0.052162,0.743921
9000,0.998000, 0.002000, 0.079656, 0.822653,0.953793, 0.105639, 0.016840, 0.661239,0.989020,0.043128,0.049816,0.742118
9500,0.992536, 0.039882, 0.049712, 0.740962,0.898351, 0.102971, 0.080295, 0.794931,0.989637,0.040939,0.050837,0.742878
10000,0.992536, 0.039882, 0.049712, 0.740962,0.895192, 0.090119, 0.001164, 0.877577,0.989973,0.044498,0.052415,0.744372
10500,0.998000, 0.002000, 0.002000, 0.776578,0.948975, 0.125683, 0.137056, 0.815646,0.988986,0.044669,0.048026,0.738832
11000,0.992536, 0.039882, 0.049712, 0.740962,0.917721, 0.175782, 0.099499, 0.901301,0.990349,0.043777,0.048444,0.743086
11500,0.992536, 0.039882, 0.049712, 0.740962,0.919755, 0.002000, 0.034632, 0.591847,0.989059,0.041386,0.048002,0.738609
12000,0.992536, 0.039882, 0.049712, 0.740962,0.900163, 0.108959, 0.090560, 0.685226,0.988294,0.041683,0.051866,0.741549
12500,0.992536, 0.039882, 0.049712, 0.740962,0.909189, 0.002000, 0.011589, 0.718171,0.989225,0.042613,0.050287,0.738856
