Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.024051, 0.008459, 0.015477, 0.011242,0.985558, 0.993040, 0.914119, 0.960462,0.530989,0.521262,0.471168,0.513503
25,0.998000, 0.401052, 0.537761, 0.508951,0.904493, 0.064058, 0.751771, 0.727172,0.986583,0.179516,0.500049,0.467454
50,0.997143, 0.332720, 0.507444, 0.568286,0.902706, 0.305742, 0.632213, 0.648128,0.986525,0.287438,0.532407,0.537485
75,0.996444, 0.319825, 0.541072, 0.533451,0.912477, 0.188036, 0.450750, 0.540500,0.992171,0.291073,0.513168,0.568860
100,0.997383, 0.275634, 0.465757, 0.632213,0.935275, 0.289145, 0.515150, 0.558763,0.990678,0.282155,0.456167,0.606843
125,0.960668, 0.135622, 0.068820, 0.716732,0.907941, 0.258513, 0.453803, 0.747005,0.985502,0.262925,0.325650,0.696345
150,0.998000, 0.002000, 0.104601, 0.524833,0.901554, 0.070158, 0.191336, 0.708272,0.983477,0.123161,0.187116,0.730758
175,0.997104, 0.061013, 0.148072, 0.806118,0.923298, 0.149751, 0.109144, 0.639819,0.993109,0.065263,0.115154,0.772798
200,0.996043, 0.046084, 0.073209, 0.780518,0.941136, 0.203057, 0.180848, 0.858331,0.991697,0.049034,0.080623,0.805471
225,0.997558, 0.052128, 0.042909, 0.830729,0.953111, 0.131997, 0.181222, 0.656921,0.991877,0.047191,0.064408,0.817490
250,0.997279, 0.040901, 0.049123, 0.813865,0.926368, 0.147357, 0.226064, 0.893398,0.993480,0.040531,0.053971,0.813922
275,0.996643, 0.035637, 0.048873, 0.815299,0.906023, 0.002000, 0.194388, 0.928385,0.989398,0.036978,0.055697,0.818434
300,0.997184, 0.026920, 0.047219, 0.817458,0.907102, 0.025747, 0.092670, 0.795006,0.989754,0.031369,0.045307,0.817615
325,0.997270, 0.024880, 0.048390, 0.823005,0.916675, 0.002000, 0.002000, 0.747758,0.993452,0.028422,0.044762,0.819357
350,0.998000, 0.002000, 0.002000, 0.918149,0.898505, 0.009856, 0.116082, 0.821509,0.994071,0.029292,0.044333,0.814341
