Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.024051, 0.008459, 0.015477, 0.011242,0.985558, 0.993040, 0.914119, 0.960462,0.530989,0.521262,0.471168,0.513503
100,0.998000, 0.002000, 0.096789, 0.757934,0.901489, 0.112606, 0.176339, 0.636889,0.990591,0.058663,0.069539,0.611509
200,0.997852, 0.030177, 0.039274, 0.700787,0.904727, 0.012889, 0.002000, 0.776992,0.992853,0.031570,0.033565,0.705041
300,0.997954, 0.020688, 0.013954, 0.799886,0.900323, 0.031021, 0.097202, 0.769488,0.990169,0.029558,0.034793,0.732292
400,0.997648, 0.016067, 0.020038, 0.790281,0.903035, 0.002000, 0.081989, 0.796670,0.993319,0.022442,0.030502,0.797808
500,0.997756, 0.013987, 0.017792, 0.776906,0.908773, 0.076996, 0.002000, 0.723230,0.994390,0.019297,0.020470,0.785204
600,0.997880, 0.008939, 0.023959, 0.778106,0.938880, 0.158694, 0.161409, 0.863111,0.990298,0.018573,0.026343,0.791397
700,0.998000, 0.002658, 0.002000, 0.788107,0.903568, 0.002000, 0.099963, 0.762043,0.992909,0.017806,0.017873,0.792753
800,0.997727, 0.012044, 0.014677, 0.793867,0.940186, 0.077957, 0.095141, 0.724609,0.994588,0.015806,0.022563,0.796146
900,0.998000, 0.002000, 0.002000, 0.901563,0.927983, 0.049018, 0.171999, 0.752695,0.994328,0.020108,0.020175,0.801424
1000,0.997768, 0.009195, 0.013481, 0.818176,0.902101, 0.002000, 0.108317, 0.735366,0.992186,0.018226,0.022235,0.819976
1100,0.987027, 0.036187, 0.002000, 0.779970,0.939747, 0.050625, 0.095223, 0.789763,0.991547,0.016776,0.022645,0.806653
1200,0.997440, 0.007131, 0.010776, 0.809140,0.980515, 0.044596, 0.031623, 0.794130,0.995419,0.016795,0.018307,0.815524
1300,0.997603, 0.009280, 0.013000, 0.843160,0.923355, 0.082000, 0.011340, 0.902002,0.993245,0.018312,0.019083,0.844896
1400,0.997490, 0.009740, 0.014476, 0.833956,0.873620, 0.035843, 0.057883, 0.891863,0.992848,0.013021,0.019192,0.820979
1500,0.997664, 0.009170, 0.016178, 0.815954,0.948508, 0.027001, 0.130350, 0.835906,0.991744,0.016806,0.028495,0.817865
1600,0.997573, 0.009446, 0.015449, 0.808434,0.935148, 0.002000, 0.039098, 0.829659,0.995801,0.011857,0.018074,0.809331
1700,0.997673, 0.010910, 0.013373, 0.824732,0.974314, 0.131549, 0.074930, 0.834397,0.995908,0.023604,0.018100,0.824505
1800,0.997786, 0.014815, 0.012505, 0.835226,0.930331, 0.083945, 0.057175, 0.820234,0.988586,0.017129,0.021136,0.824680
1900,0.997671, 0.013184, 0.011998, 0.832322,0.930422, 0.026969, 0.084909, 0.873637,0.994851,0.016895,0.015770,0.831636
2000,0.997617, 0.016005, 0.011732, 0.856507,0.921995, 0.127690, 0.002000, 0.677753,0.991830,0.022123,0.016746,0.842160
2100,0.997572, 0.014150, 0.010455, 0.813550,0.920737, 0.021216, 0.118855, 0.722030,0.992429,0.020270,0.021959,0.815117
2200,0.997341, 0.017249, 0.012670, 0.816632,0.948091, 0.200510, 0.040183, 0.916144,0.994006,0.019312,0.018619,0.810393
2300,0.997144, 0.015214, 0.013817, 0.818170,0.966141, 0.002000, 0.112923, 0.877012,0.993967,0.019902,0.020560,0.815576
2400,0.997514, 0.010761, 0.010735, 0.831164,0.899332, 0.018296, 0.002000, 0.953683,0.987620,0.021419,0.018415,0.846711
