Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P,Total Score
1,0.551811, 0.384210, 0.529831, 0.477326,0.307575,0.378981,0.374596,0.329704,0.278910,0.380050,0.373826,0.542368,0.348465,0.506776,0.561625,0.438039,125618
501,0.160270, 0.158214, 0.218904, 0.002000,0.057748,0.076385,0.088160,0.025450,0.070324,0.096017,0.129070,0.014911,0.134944,0.109648,0.180726,0.034323,28878242
1001,0.066105, 0.200964, 0.086418, 0.002000,0.096052,0.060189,0.083264,0.015772,0.123429,0.062522,0.091055,0.009005,0.076038,0.080099,0.043858,0.002000,28438472
1501,0.114510, 0.002000, 0.136654, 0.002000,0.061226,0.079975,0.064076,0.021172,0.065254,0.089701,0.091724,0.010707,0.087054,0.118818,0.096107,0.002000,28387837
2001,0.002000, 0.055756, 0.106940, 0.002000,0.079583,0.050600,0.052442,0.029279,0.099903,0.050386,0.060103,0.019221,0.038614,0.041669,0.071458,0.002000,28366392
2501,0.020235, 0.024649, 0.089922, 0.002000,0.059806,0.083367,0.041529,0.032100,0.056954,0.078392,0.059686,0.023490,0.008078,0.037564,0.087227,0.002000,28422435
3001,0.091799, 0.135504, 0.081077, 0.002000,0.082448,0.090451,0.050663,0.016297,0.088952,0.068300,0.062651,0.010212,0.104048,0.046501,0.072759,0.003095,28447643
3501,0.068165, 0.064154, 0.111549, 0.090508,0.110069,0.053146,0.056455,0.024802,0.123036,0.063122,0.057967,0.012178,0.075846,0.068109,0.128911,0.031503,28463607
4001,0.141370, 0.248160, 0.087194, 0.002000,0.067439,0.086993,0.057543,0.025205,0.085427,0.105433,0.049679,0.012636,0.108503,0.179198,0.046221,0.003626,28443433
4501,0.196060, 0.140381, 0.064150, 0.002000,0.069259,0.073694,0.056336,0.022174,0.082063,0.066725,0.053596,0.011598,0.066687,0.099135,0.053501,0.002000,28397483
5001,0.093531, 0.002000, 0.186032, 0.010356,0.064238,0.056741,0.060019,0.020327,0.076198,0.056127,0.065100,0.011814,0.076780,0.038774,0.086643,0.004785,28512574
5501,0.002000, 0.169080, 0.017262, 0.002000,0.079697,0.072123,0.076332,0.020504,0.092367,0.062885,0.100457,0.009163,0.050584,0.072508,0.008448,0.002000,28418362
6001,0.109062, 0.002000, 0.034245, 0.002000,0.060307,0.052896,0.054978,0.013050,0.054900,0.055335,0.048313,0.007904,0.123781,0.028898,0.077946,0.002000,28411204
6501,0.093437, 0.009110, 0.155323, 0.002000,0.078954,0.076313,0.068575,0.019598,0.113331,0.067729,0.107211,0.009786,0.051792,0.067408,0.163055,0.002000,28414371
7001,0.215528, 0.157160, 0.067569, 0.158235,0.076997,0.072474,0.071790,0.036578,0.085077,0.082714,0.081342,0.016939,0.107232,0.082239,0.083543,0.054078,28437416
7501,0.136335, 0.170058, 0.188691, 0.002000,0.086078,0.082868,0.074974,0.019569,0.092863,0.095600,0.100235,0.011452,0.074174,0.141281,0.113713,0.002000,28375505
8001,0.093932, 0.002000, 0.075055, 0.002000,0.070750,0.068433,0.061240,0.023683,0.096541,0.081724,0.061167,0.016911,0.118111,0.010002,0.082773,0.016196,28350428
8501,0.002000, 0.002000, 0.045863, 0.002000,0.082663,0.059215,0.078933,0.021457,0.083776,0.074353,0.102781,0.011171,0.004721,0.062018,0.112759,0.002000,28333938
9001,0.043787, 0.225235, 0.002000, 0.002000,0.073626,0.083784,0.058092,0.027481,0.074814,0.095431,0.051563,0.017126,0.025044,0.119325,0.003375,0.005933,28450765
9501,0.002000, 0.002703, 0.092670, 0.002000,0.080584,0.062360,0.054311,0.017152,0.086501,0.060585,0.053467,0.008793,0.084537,0.006140,0.046346,0.008267,28494070
10001,0.073030, 0.064646, 0.002000, 0.002000,0.059799,0.080853,0.060615,0.022573,0.068570,0.117992,0.054261,0.010723,0.036118,0.107958,0.012797,0.003490,28460345
10501,0.034405, 0.009078, 0.083693, 0.050995,0.054303,0.066501,0.060296,0.030879,0.071449,0.076925,0.062391,0.021017,0.069596,0.064054,0.061116,0.024944,28535015
11001,0.209011, 0.002000, 0.077076, 0.002000,0.071787,0.067144,0.071070,0.031213,0.099546,0.054036,0.072525,0.015935,0.111090,0.002000,0.090706,0.020477,28457663
11501,0.043725, 0.162932, 0.002000, 0.126216,0.056046,0.065711,0.086875,0.032378,0.052410,0.051565,0.083735,0.020607,0.015908,0.157821,0.033479,0.071550,28387521
12001,0.171414, 0.099856, 0.092780, 0.002000,0.078746,0.052397,0.060553,0.021284,0.074833,0.051880,0.056174,0.011878,0.100500,0.079396,0.032260,0.002000,28397416
12501,0.002000, 0.056863, 0.149974, 0.002000,0.080885,0.057176,0.050931,0.023140,0.103617,0.042920,0.048823,0.012901,0.097114,0.035595,0.053476,0.002000,28436592
13001,0.030888, 0.321807, 0.002000, 0.002000,0.091410,0.083621,0.060450,0.025023,0.127792,0.118081,0.067667,0.015158,0.147632,0.154317,0.048819,0.020346,28401765
13501,0.003227, 0.188358, 0.100545, 0.002000,0.102403,0.077972,0.063155,0.016576,0.137186,0.076437,0.107474,0.010580,0.050032,0.169592,0.083818,0.022197,28451671
14001,0.301041, 0.002000, 0.138237, 0.093139,0.086315,0.091914,0.061917,0.024985,0.132811,0.093068,0.068527,0.015787,0.174509,0.033809,0.138108,0.036843,28527229
14501,0.156101, 0.022859, 0.009616, 0.002000,0.065683,0.057676,0.056185,0.026164,0.085195,0.075812,0.051833,0.013203,0.085691,0.056028,0.035873,0.006745,28493311
15001,0.019338, 0.019656, 0.018560, 0.002000,0.064713,0.066391,0.067556,0.019104,0.072146,0.085641,0.095776,0.012048,0.026962,0.046800,0.089653,0.002000,28519408
15501,0.002000, 0.155915, 0.090559, 0.002000,0.072257,0.086373,0.059791,0.026784,0.074149,0.119314,0.099770,0.015159,0.063151,0.137725,0.082848,0.031641,28523265
16001,0.014194, 0.058179, 0.001129, 0.002000,0.063656,0.047060,0.029988,0.024622,0.065276,0.055747,0.027677,0.014169,0.034549,0.069640,0.013359,0.001685,28414055
16501,0.182944, 0.051310, 0.071990, 0.002000,0.110605,0.074588,0.056843,0.009542,0.091488,0.088969,0.068905,0.005831,0.074140,0.078189,0.077721,0.002000,28406327
17001,0.132952, 0.002000, 0.171537, 0.002000,0.057005,0.073263,0.077022,0.020671,0.068233,0.071597,0.079422,0.011742,0.139111,0.030973,0.121910,0.002000,28477000
17501,0.185133, 0.025719, 0.174492, 0.002000,0.093254,0.067587,0.090983,0.030080,0.134519,0.070445,0.133144,0.017806,0.110418,0.071774,0.127193,0.002087,28404188
18001,0.002000, 0.002000, 0.002000, 0.002000,0.069183,0.071815,0.071898,0.019541,0.063786,0.094280,0.096634,0.011034,0.064157,0.107321,0.081723,0.002000,28482127
18501,0.039302, 0.091018, 0.002000, 0.044522,0.058220,0.088422,0.061623,0.015156,0.063448,0.088788,0.055592,0.009415,0.083802,0.112310,0.005778,0.016396,28357004
19001,0.099340, 0.039583, 0.282790, 0.002000,0.063519,0.049484,0.073199,0.017677,0.065277,0.052278,0.077254,0.010484,0.073429,0.054856,0.137860,0.002000,28427775
19501,0.016384, 0.159941, 0.148475, 0.002000,0.073385,0.067116,0.060009,0.019628,0.068349,0.073706,0.063060,0.010846,0.026956,0.147951,0.056804,0.011221,28427700
20001,0.070282, 0.002000, 0.082639, 0.002000,0.082982,0.093356,0.060539,0.027279,0.089416,0.116624,0.093824,0.015793,0.038163,0.058661,0.108727,0.028773,28475568
20501,0.015065, 0.052191, 0.100698, 0.002000,0.073646,0.049818,0.063484,0.020891,0.093133,0.064651,0.071925,0.011463,0.049702,0.044743,0.038503,0.002000,28507173
21001,0.229932, 0.172333, 0.062450, 0.013141,0.095538,0.057587,0.056922,0.022648,0.145175,0.077574,0.051109,0.012562,0.132913,0.071340,0.064841,0.005714,28405199
21501,0.171457, 0.016252, 0.090504, 0.002000,0.089176,0.051365,0.056818,0.028072,0.084343,0.069143,0.060531,0.014468,0.076842,0.044366,0.040968,0.002000,28417682
22001,0.002000, 0.002000, 0.038367, 0.002000,0.094908,0.061606,0.045114,0.024315,0.100164,0.069103,0.046460,0.019086,0.072659,0.002000,0.015327,0.017968,28466306
22501,0.018295, 0.050783, 0.091638, 0.002000,0.112294,0.068722,0.054762,0.035251,0.143528,0.093805,0.063718,0.020736,0.055421,0.073146,0.038660,0.011671,28526845
23001,0.002000, 0.100963, 0.081564, 0.046293,0.094129,0.066851,0.090072,0.025709,0.102193,0.085490,0.091316,0.015953,0.071810,0.136526,0.042160,0.016764,28511466
23501,0.024678, 0.007742, 0.002000, 0.029588,0.084842,0.065076,0.096225,0.019738,0.127348,0.081705,0.090877,0.010617,0.118941,0.114654,0.005178,0.013651,28455402
24001,0.215473, 0.077958, 0.109707, 0.002000,0.084011,0.063051,0.062093,0.027026,0.126511,0.073791,0.082053,0.016581,0.173269,0.131695,0.104040,0.026676,28420871
24501,0.286185, 0.172871, 0.006965, 0.002000,0.112645,0.075739,0.073172,0.030758,0.134457,0.092568,0.086361,0.021189,0.157323,0.119680,0.026724,0.016555,28526717
25001,0.179904, 0.065049, 0.002000, 0.002000,0.074487,0.078476,0.065750,0.028218,0.146703,0.082916,0.055924,0.017891,0.123315,0.043547,0.023616,0.019745,28533607
25501,0.064961, 0.002000, 0.002000, 0.099169,0.066959,0.056724,0.065065,0.023657,0.083727,0.054993,0.061566,0.012475,0.077370,0.016021,0.089509,0.034390,28467581
26001,0.002000, 0.153799, 0.193791, 0.002000,0.091106,0.066272,0.085818,0.017567,0.102039,0.082809,0.111953,0.012376,0.067945,0.074327,0.101272,0.006885,28417768
26501,0.188165, 0.006724, 0.002000, 0.002000,0.097635,0.062529,0.068013,0.036347,0.159400,0.061309,0.057075,0.015015,0.212635,0.024351,0.034024,0.002000,28501091
27001,0.260946, 0.061102, 0.044639, 0.004209,0.107018,0.066813,0.094342,0.022219,0.134358,0.062695,0.069526,0.011109,0.218112,0.081789,0.039006,0.010489,28461352
27501,0.002000, 0.082818, 0.002000, 0.002000,0.076160,0.070759,0.067299,0.019334,0.092631,0.078706,0.081043,0.008884,0.142272,0.041124,0.104301,0.002000,28386039
