Generation, BPA-R, BPA-S, BPA-T, BPA-P, SD-R, SD-S, SD-T, SD-P, AA-R, AA-S, AA-T, AA-P, ABPA-R, ABPA-S, ABPA-T, ABPA-P, Total Score
1,0.009313, 0.343058, 0.022916, 0.086992,0.379722,0.302217,0.390330,0.388859,0.521916,0.368876,0.362075,0.470302,0.517614,0.238603,0.563352,0.339299,120522
501,0.161671, 0.002000, 0.046905, 0.002000,0.089168,0.076192,0.057065,0.015780,0.128996,0.095210,0.044836,0.007859,0.061115,0.106846,0.029153,0.002000,28772607
1001,0.055034, 0.107676, 0.002000, 0.002000,0.089119,0.050434,0.076262,0.023421,0.112561,0.061767,0.064820,0.012611,0.110516,0.085360,0.084140,0.002000,28433818
1501,0.033012, 0.209570, 0.109233, 0.002000,0.091194,0.077493,0.062663,0.017292,0.123397,0.085949,0.080062,0.007182,0.106829,0.132070,0.078999,0.028426,28469728
2001,0.079594, 0.050799, 0.075737, 0.002000,0.086550,0.049497,0.058866,0.022874,0.101228,0.050699,0.048120,0.012688,0.089806,0.035395,0.042804,0.002000,28467547
2501,0.337750, 0.064175, 0.037603, 0.002000,0.081612,0.079235,0.054752,0.021224,0.079891,0.106674,0.052362,0.011454,0.159653,0.120092,0.079131,0.002000,28463227
3001,0.025870, 0.007440, 0.117670, 0.002000,0.070708,0.066560,0.102220,0.020006,0.084191,0.094327,0.135783,0.008005,0.063503,0.107378,0.176205,0.028826,28465006
3501,0.183451, 0.212982, 0.002138, 0.002000,0.075163,0.086833,0.054849,0.025068,0.138193,0.162978,0.053124,0.013050,0.188857,0.100860,0.056645,0.026918,28507625
4001,0.104565, 0.002000, 0.082981, 0.002000,0.080205,0.052164,0.057433,0.034997,0.085901,0.051388,0.065226,0.023315,0.067154,0.056105,0.028994,0.055393,28538583
4501,0.065943, 0.029376, 0.057888, 0.004609,0.072013,0.047078,0.058130,0.030724,0.097261,0.034669,0.073686,0.015926,0.084182,0.013611,0.074051,0.002870,28422716
5001,0.140090, 0.068706, 0.071171, 0.002000,0.049091,0.073656,0.050945,0.026149,0.060564,0.077323,0.068889,0.017210,0.089657,0.072456,0.047768,0.004616,28442094
5501,0.257381, 0.005749, 0.002000, 0.002000,0.081606,0.067023,0.081463,0.027583,0.095610,0.052082,0.125656,0.019638,0.136567,0.071581,0.060020,0.002000,28436223
6001,0.002000, 0.094673, 0.002000, 0.074300,0.087067,0.063343,0.050237,0.023663,0.089955,0.084508,0.045759,0.014940,0.029512,0.055866,0.062734,0.043917,28428816
6501,0.093394, 0.002000, 0.176735, 0.002000,0.081210,0.061878,0.077540,0.028118,0.144106,0.056020,0.092118,0.015648,0.131431,0.103090,0.121492,0.002000,28409352
7001,0.002000, 0.002000, 0.007952, 0.002000,0.063338,0.055328,0.061637,0.016697,0.089654,0.050928,0.055692,0.008442,0.047845,0.008409,0.112681,0.002000,28402024
7501,0.252253, 0.058021, 0.002000, 0.004240,0.078605,0.067506,0.051709,0.030421,0.072132,0.058024,0.048191,0.020519,0.121648,0.072113,0.019099,0.030969,28451618
8001,0.002000, 0.141247, 0.002000, 0.002000,0.079489,0.059263,0.081689,0.014451,0.078182,0.083838,0.083571,0.007244,0.060853,0.120983,0.171001,0.002000,28500182
