Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.309158, 0.848281, 0.052085, 0.010175,0.786042, 0.993472, 0.883104, 0.170292,0.467741,0.515334,0.485266,0.490732
25,0.002000, 0.066538, 0.057119, 0.086372,0.987414, 0.865805, 0.896249, 0.784997,0.485200,0.319764,0.278951,0.282226
50,0.002000, 0.213065, 0.065629, 0.002000,0.595442, 0.835143, 0.781883, 0.711396,0.462434,0.292929,0.284456,0.257054
75,0.281710, 0.385291, 0.002000, 0.002000,0.669693, 0.892537, 0.777553, 0.812122,0.441137,0.287054,0.263141,0.238977
100,0.984714, 0.017667, 0.002000, 0.032151,0.940947, 0.949494, 0.933642, 0.276338,0.474412,0.335596,0.262032,0.206689
125,0.285002, 0.029481, 0.025682, 0.041775,0.506397, 0.958987, 0.753628, 0.837723,0.421151,0.329069,0.251662,0.234745
150,0.084966, 0.116597, 0.098451, 0.004463,0.877715, 0.990949, 0.712924, 0.837405,0.433710,0.330690,0.268019,0.231652
175,0.286447, 0.103707, 0.029479, 0.044275,0.736280, 0.886713, 0.234938, 0.949374,0.433412,0.332737,0.231145,0.185249
200,0.882882, 0.175217, 0.047009, 0.002080,0.980982, 0.868025, 0.805216, 0.267574,0.446239,0.283036,0.252864,0.190721
225,0.368012, 0.578554, 0.004362, 0.016421,0.646028, 0.820339, 0.664807, 0.847545,0.407173,0.331435,0.247021,0.227640
250,0.368012, 0.578554, 0.004362, 0.016421,0.990120, 0.815877, 0.902548, 0.603745,0.407740,0.304843,0.216015,0.185426
275,0.279955, 0.157505, 0.105956, 0.002473,0.233172, 0.949828, 0.543233, 0.826346,0.442197,0.312412,0.240728,0.189390
300,0.279955, 0.157505, 0.105956, 0.002473,0.732620, 0.940224, 0.372213, 0.965550,0.399895,0.333214,0.220386,0.184727
325,0.553308, 0.151959, 0.028057, 0.004726,0.998550, 0.772477, 0.974428, 0.888600,0.433819,0.311225,0.224661,0.198373
350,0.091312, 0.036841, 0.024715, 0.050438,0.612420, 0.905585, 0.950418, 0.692335,0.409881,0.313553,0.237015,0.202925
375,0.553308, 0.151959, 0.028057, 0.004726,0.721661, 0.979978, 0.672548, 0.205266,0.442980,0.312795,0.242349,0.187333
400,0.368012, 0.578554, 0.004362, 0.016421,0.781606, 0.997824, 0.704795, 0.333427,0.478526,0.323926,0.229908,0.189489
425,0.553308, 0.151959, 0.028057, 0.004726,0.671457, 0.914094, 0.837144, 0.711839,0.479038,0.319354,0.215189,0.169914
450,0.286447, 0.103707, 0.029479, 0.044275,0.926954, 0.993296, 0.299855, 0.169794,0.471474,0.310309,0.187504,0.172522
475,0.091312, 0.036841, 0.024715, 0.050438,0.718056, 0.954597, 0.946575, 0.832748,0.451611,0.271662,0.231969,0.177694
500,0.091312, 0.036841, 0.024715, 0.050438,0.473339, 0.892759, 0.981864, 0.636699,0.475483,0.299635,0.223817,0.211784
525,0.409964, 0.018334, 0.001206, 0.090379,0.008504, 0.947235, 0.766491, 0.654331,0.443336,0.315610,0.209957,0.147619
550,0.084966, 0.116597, 0.098451, 0.004463,0.832988, 0.984249, 0.140225, 0.639951,0.470689,0.305422,0.197613,0.181190
575,0.673290, 0.193058, 0.012717, 0.022511,0.135183, 0.962144, 0.771274, 0.679625,0.458003,0.275048,0.249926,0.178584
600,0.553308, 0.151959, 0.028057, 0.004726,0.193650, 0.936366, 0.667949, 0.619825,0.443553,0.275326,0.190365,0.166906
625,0.553308, 0.151959, 0.028057, 0.004726,0.593859, 0.938458, 0.352317, 0.674312,0.462414,0.286271,0.211863,0.163885
650,0.673290, 0.193058, 0.012717, 0.022511,0.634285, 0.999796, 0.847991, 0.228319,0.469730,0.303275,0.228185,0.162293
675,0.984742, 0.032444, 0.011346, 0.002000,0.629905, 0.909040, 0.949976, 0.757331,0.475222,0.271191,0.208021,0.169178
700,0.420779, 0.043606, 0.025357, 0.004451,0.344285, 0.931352, 0.376041, 0.727929,0.445196,0.251527,0.214352,0.180310
725,0.309043, 0.291382, 0.031254, 0.007240,0.667717, 0.909545, 0.375682, 0.894111,0.464351,0.296277,0.162706,0.172501
750,0.208278, 0.069834, 0.002000, 0.002000,0.838234, 0.974641, 0.219106, 0.609255,0.473382,0.308573,0.206032,0.192119
775,0.553308, 0.151959, 0.028057, 0.004726,0.377921, 0.994114, 0.172116, 0.996584,0.450744,0.300711,0.216003,0.210836
800,0.431903, 0.186571, 0.046624, 0.038486,0.921324, 0.840051, 0.990345, 0.899316,0.486972,0.277941,0.174099,0.160966
825,0.673290, 0.193058, 0.012717, 0.022511,0.608145, 0.987481, 0.751158, 0.239416,0.471700,0.301626,0.183263,0.149774
850,0.309043, 0.291382, 0.031254, 0.007240,0.716480, 0.933723, 0.031719, 0.989823,0.472085,0.303953,0.175781,0.203616
875,0.420779, 0.043606, 0.025357, 0.004451,0.316177, 0.838626, 0.789007, 0.860910,0.458819,0.302184,0.207887,0.202917
900,0.216066, 0.056617, 0.071630, 0.004609,0.976595, 0.823827, 0.713584, 0.511376,0.500444,0.305616,0.188874,0.166631
925,0.313073, 0.219522, 0.011191, 0.022878,0.898349, 0.883108, 0.742427, 0.845344,0.479971,0.301249,0.203586,0.170954
950,0.216066, 0.056617, 0.071630, 0.004609,0.466264, 0.967900, 0.769922, 0.911718,0.477973,0.311938,0.195910,0.164374
975,0.553308, 0.151959, 0.028057, 0.004726,0.770107, 0.912554, 0.539776, 0.958007,0.448460,0.288225,0.202662,0.149631
999,0.420779, 0.043606, 0.025357, 0.004451,0.632730, 0.989739, 0.544546, 0.752549,0.425661,0.318638,0.194665,0.144203
