Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.309158, 0.848281, 0.052085, 0.010175,0.786042, 0.993472, 0.883104, 0.170292,0.467741,0.515334,0.485266,0.490732
100,0.081952, 0.156652, 0.050345, 0.046383,0.964604, 0.902735, 0.584438, 0.805228,0.441830,0.349252,0.245578,0.214930
200,0.678484, 0.357581, 0.012752, 0.003010,0.384855, 0.960400, 0.678262, 0.924330,0.411062,0.366270,0.222247,0.184363
300,0.083467, 0.851008, 0.007662, 0.002477,0.996297, 0.913878, 0.755603, 0.902934,0.470218,0.323020,0.197715,0.173378
400,0.945954, 0.117202, 0.023570, 0.009293,0.267429, 0.972195, 0.109972, 0.643770,0.392642,0.316245,0.183029,0.160487
500,0.487157, 0.151462, 0.012182, 0.002854,0.816537, 0.953344, 0.101406, 0.641914,0.399571,0.335385,0.199082,0.182089
600,0.163616, 0.033736, 0.018607, 0.033737,0.471770, 0.949674, 0.020081, 0.900053,0.406735,0.328809,0.167495,0.191526
700,0.678484, 0.357581, 0.012752, 0.003010,0.606500, 0.871154, 0.472675, 0.928249,0.428805,0.322673,0.180362,0.160995
800,0.487157, 0.151462, 0.012182, 0.002854,0.603662, 0.922487, 0.352652, 0.932421,0.452130,0.311362,0.177047,0.160383
900,0.149777, 0.048304, 0.006941, 0.037920,0.555277, 0.997851, 0.802993, 0.863364,0.432439,0.296172,0.177642,0.180599
1000,0.149777, 0.048304, 0.006941, 0.037920,0.436887, 0.972378, 0.800126, 0.876380,0.399482,0.292609,0.179090,0.175086
1100,0.117688, 0.322676, 0.026035, 0.016511,0.740102, 0.997211, 0.391421, 0.964590,0.421964,0.297848,0.160632,0.194677
1200,0.098899, 0.066365, 0.022364, 0.023684,0.984376, 0.810243, 0.536547, 0.969123,0.411782,0.315337,0.180028,0.181794
1300,0.388034, 0.043900, 0.012076, 0.026167,0.915379, 0.914179, 0.292382, 0.953587,0.410812,0.317347,0.178653,0.157049
1400,0.360317, 0.294140, 0.005369, 0.011371,0.617208, 0.829262, 0.940448, 0.757191,0.378092,0.283273,0.195168,0.161977
1500,0.678484, 0.357581, 0.012752, 0.003010,0.717850, 0.744407, 0.399647, 0.920256,0.361487,0.259092,0.168879,0.173918
1600,0.229458, 0.044589, 0.032414, 0.056501,0.849105, 0.846938, 0.449916, 0.757029,0.403729,0.265363,0.187826,0.163310
1700,0.094728, 0.246952, 0.037997, 0.001233,0.948558, 0.978319, 0.906139, 0.627406,0.416128,0.269055,0.200006,0.160505
1800,0.502370, 0.025337, 0.003907, 0.037413,0.734783, 0.989871, 0.356708, 0.667237,0.407093,0.297615,0.158685,0.186971
1900,0.188224, 0.088466, 0.012930, 0.006452,0.981846, 0.863385, 0.856998, 0.466102,0.431052,0.274321,0.173699,0.175206
2000,0.009959, 0.394340, 0.005687, 0.004682,0.996516, 0.972901, 0.705247, 0.955824,0.379593,0.292696,0.166128,0.192496
2100,0.486653, 0.002327, 0.050141, 0.007957,0.453553, 0.970006, 0.855979, 0.433077,0.422395,0.256247,0.163119,0.171478
2200,0.487157, 0.151462, 0.012182, 0.002854,0.904014, 0.998613, 0.345842, 0.734124,0.420086,0.298351,0.166550,0.175330
2300,0.141989, 0.352363, 0.009677, 0.012195,0.981312, 0.929569, 0.767956, 0.504157,0.412173,0.276925,0.179184,0.194691
2400,0.013426, 0.383510, 0.020316, 0.026202,0.449903, 0.990887, 0.604638, 0.893352,0.357734,0.266930,0.169665,0.152821
2500,0.188224, 0.088466, 0.012930, 0.006452,0.884206, 0.708202, 0.432701, 0.928424,0.394419,0.252948,0.152355,0.168184
2600,0.091390, 0.170445, 0.009169, 0.013496,0.920521, 0.989251, 0.132308, 0.750423,0.397217,0.286849,0.154122,0.148277
2700,0.090882, 0.136759, 0.033539, 0.003377,0.877380, 0.912485, 0.979223, 0.499765,0.368500,0.264685,0.189586,0.168059
2800,0.009959, 0.394340, 0.005687, 0.004682,0.859272, 0.915471, 0.875823, 0.840669,0.381144,0.277691,0.173731,0.176398
2900,0.524326, 0.018675, 0.012001, 0.022816,0.776622, 0.944422, 0.991613, 0.661053,0.395323,0.269010,0.176672,0.156213
3000,0.241754, 0.180385, 0.034684, 0.005255,0.924925, 0.934845, 0.556041, 0.910495,0.407022,0.266464,0.189545,0.163092
3100,0.486653, 0.002327, 0.050141, 0.007957,0.620404, 0.895231, 0.259749, 0.841474,0.390667,0.248676,0.208306,0.145765
3200,0.267986, 0.245729, 0.019190, 0.003605,0.926938, 0.983485, 0.531939, 0.869179,0.389787,0.268236,0.184007,0.200855
3300,0.090882, 0.136759, 0.033539, 0.003377,0.776194, 0.999042, 0.078912, 0.779351,0.397638,0.274711,0.179482,0.181264
