Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.024051, 0.008459, 0.015477, 0.011242,0.985558, 0.993040, 0.914119, 0.960462,0.530989,0.521262,0.471168,0.513503
50,0.813988, 0.027753, 0.009297, 0.048056,0.203507, 0.950984, 0.958269, 0.866574,0.526955,0.289078,0.237908,0.144537
100,0.987800, 0.065505, 0.018979, 0.007432,0.470850, 0.987297, 0.106795, 0.797771,0.655048,0.259038,0.161671,0.146645
150,0.992086, 0.012138, 0.047198, 0.029348,0.346557, 0.987421, 0.923650, 0.855536,0.669487,0.200271,0.166320,0.107648
200,0.987800, 0.065505, 0.018979, 0.007432,0.064701, 0.901083, 0.412601, 0.699766,0.721313,0.247721,0.135045,0.123934
250,0.986558, 0.007617, 0.023421, 0.014194,0.316978, 0.989593, 0.966495, 0.919797,0.830616,0.260891,0.195416,0.149967
300,0.987698, 0.287239, 0.023411, 0.026988,0.007917, 0.968728, 0.015816, 0.983721,0.881646,0.248274,0.200508,0.141612
350,1.196606, 0.436816, 0.002000, 0.211161,0.287628, 0.969345, 0.989515, 0.148178,0.894924,0.279470,0.226217,0.130557
400,0.980264, 0.305273, 0.024241, 0.024942,0.062204, 0.962955, 0.925161, 0.681613,0.881774,0.255881,0.324418,0.206868
450,0.980264, 0.305273, 0.024241, 0.024942,0.628427, 0.987681, 0.886350, 0.497193,0.911250,0.277833,0.269159,0.258536
500,0.982620, 0.021637, 0.010710, 0.020736,0.008888, 0.721342, 0.991549, 0.992208,0.906449,0.273877,0.176689,0.165567
550,0.992202, 0.323846, 0.043678, 0.039798,0.010203, 0.971297, 0.845925, 0.954968,0.888368,0.239469,0.193152,0.175897
600,1.081089, 0.097076, 0.002000, 0.002000,0.147878, 0.983871, 0.902367, 0.868753,0.896615,0.240400,0.203848,0.163622
650,0.986558, 0.007617, 0.023421, 0.014194,0.020930, 0.930598, 0.881358, 0.167846,0.874659,0.236374,0.153778,0.178038
700,0.982620, 0.021637, 0.010710, 0.020736,0.143171, 0.981595, 0.987833, 0.103946,0.912503,0.228256,0.164327,0.171709
750,0.986558, 0.007617, 0.023421, 0.014194,0.241712, 0.970451, 0.912277, 0.983079,0.870874,0.229768,0.159727,0.146799
800,0.987800, 0.065505, 0.018979, 0.007432,0.496118, 0.909339, 0.842173, 0.664321,0.864309,0.251639,0.125114,0.147134
850,0.975468, 0.053000, 0.012991, 0.067531,0.045824, 0.989518, 0.431565, 0.972348,0.865088,0.287430,0.150169,0.116707
900,0.992928, 0.538142, 0.008402, 0.017745,0.170763, 0.974668, 0.306253, 0.955257,0.904280,0.222801,0.171349,0.139386
950,0.987800, 0.065505, 0.018979, 0.007432,0.216004, 0.968378, 0.883471, 0.926955,0.890431,0.251954,0.125536,0.154392
1000,0.993222, 0.015371, 0.006729, 0.330542,0.008390, 0.991084, 0.694247, 0.514288,0.905478,0.261285,0.190705,0.119584
1050,0.992486, 0.016498, 0.011053, 0.036683,0.034278, 0.899056, 0.427927, 0.758432,0.899977,0.238250,0.173617,0.096017
1100,0.993052, 0.059395, 0.101124, 0.057680,0.750268, 0.989939, 0.846639, 0.988536,0.912934,0.239354,0.138744,0.137755
1150,0.985707, 0.093312, 0.043946, 0.016649,0.049437, 0.991177, 0.802574, 0.926644,0.892594,0.213167,0.156088,0.151954
1200,0.972758, 0.016917, 0.021076, 0.019499,0.204547, 0.957131, 0.341561, 0.532293,0.883327,0.248263,0.125828,0.121138
1250,0.992129, 0.055087, 0.011423, 0.008667,0.412742, 0.993059, 0.340807, 0.692750,0.874877,0.233367,0.174394,0.133511
1300,0.991000, 0.050048, 0.061782, 0.013859,0.061242, 0.853062, 0.279663, 0.961908,0.876028,0.225856,0.156358,0.121655
1350,0.992993, 0.014895, 0.051721, 0.010272,0.009326, 0.991932, 0.148938, 0.936854,0.884832,0.219913,0.163730,0.118066
1400,0.992903, 0.008997, 0.008873, 0.012965,0.042545, 0.986411, 0.979359, 0.976547,0.901623,0.264374,0.148688,0.130036
1450,0.989745, 0.140447, 0.007499, 0.027319,0.007328, 0.989588, 0.780691, 0.423813,0.906384,0.252279,0.167519,0.108260
1500,0.992903, 0.008997, 0.008873, 0.012965,0.043578, 0.991966, 0.085717, 0.974525,0.881281,0.231364,0.153787,0.164333
1550,0.988399, 0.014116, 0.008907, 0.007024,0.643425, 0.989474, 0.864407, 0.987932,0.906189,0.238300,0.114867,0.121522
1600,0.992129, 0.055087, 0.011423, 0.008667,0.159574, 0.982691, 0.962525, 0.723384,0.881955,0.234788,0.138482,0.148486
1650,1.240259, 0.375366, 0.002000, 0.010346,0.017825, 0.912750, 0.874010, 0.881510,0.874979,0.216102,0.103671,0.135804
1700,0.992912, 0.051853, 0.015436, 0.075983,0.119740, 0.979565, 0.956147, 0.509318,0.907462,0.222496,0.148565,0.119246
1750,0.992129, 0.055087, 0.011423, 0.008667,0.076367, 0.965259, 0.977121, 0.762505,0.917434,0.243507,0.152678,0.148635
1800,0.991843, 0.075006, 0.020174, 0.033859,0.042853, 0.926352, 0.617051, 0.596584,0.888310,0.227863,0.134515,0.088937
1850,1.045146, 0.102710, 0.002000, 0.002000,0.383956, 0.882841, 0.589789, 0.981249,0.889228,0.186393,0.137339,0.145227
1900,0.992486, 0.016498, 0.011053, 0.036683,0.165511, 0.962352, 0.784122, 0.907394,0.850124,0.224005,0.143322,0.149545
1950,0.992903, 0.008997, 0.008873, 0.012965,0.101592, 0.916889, 0.984328, 0.759595,0.890762,0.183555,0.148405,0.119510
2000,0.984669, 0.018985, 0.021965, 0.010850,0.304130, 0.945162, 0.986228, 0.990918,0.900024,0.197273,0.124837,0.061924
2050,0.992086, 0.012138, 0.047198, 0.029348,0.038577, 0.929085, 0.886465, 0.855501,0.877071,0.192189,0.133896,0.118772
2100,0.990177, 0.025960, 0.019517, 0.014537,0.205426, 0.993021, 0.032771, 0.989832,0.858714,0.189870,0.182739,0.126788
2150,0.987570, 0.060164, 0.007705, 0.064114,0.017877, 0.980998, 0.866011, 0.163285,0.861715,0.194265,0.136699,0.108847
2200,0.990865, 0.195636, 0.012818, 0.018743,0.010417, 0.963829, 0.975096, 0.788387,0.881452,0.223368,0.111854,0.123305
2250,0.992903, 0.008997, 0.008873, 0.012965,0.067330, 0.959458, 0.768006, 0.932297,0.884827,0.265694,0.124445,0.148355
2300,0.990180, 0.094110, 0.008225, 0.013308,0.344227, 0.970714, 0.111444, 0.626668,0.894837,0.227078,0.127671,0.118866
2350,0.992129, 0.055087, 0.011423, 0.008667,0.352542, 0.922596, 0.870109, 0.716288,0.883448,0.223423,0.127327,0.116165
2400,0.986558, 0.007617, 0.023421, 0.014194,0.025670, 0.824352, 0.173602, 0.982044,0.893059,0.207982,0.130421,0.109409
2450,0.989703, 0.058133, 0.012819, 0.011778,0.791123, 0.979397, 0.733213, 0.968936,0.913831,0.188094,0.081313,0.113954
2500,0.992129, 0.055087, 0.011423, 0.008667,0.112543, 0.975094, 0.014347, 0.980848,0.906696,0.196270,0.096472,0.128849
2550,0.992064, 0.066024, 0.014532, 0.022000,0.256325, 0.990571, 0.980367, 0.991886,0.884120,0.174417,0.136968,0.113643
2600,0.990344, 0.045042, 0.016652, 0.032518,0.036699, 0.989580, 0.435331, 0.977165,0.878606,0.213871,0.143475,0.108114
2650,0.990344, 0.045042, 0.016652, 0.032518,0.016648, 0.991363, 0.009628, 0.240795,0.894840,0.161554,0.142231,0.128860
2700,0.993015, 0.013470, 0.019200, 0.010474,0.040502, 0.976530, 0.990123, 0.991654,0.877185,0.202736,0.132618,0.148401
2750,0.980924, 0.014307, 0.009303, 0.029300,0.102260, 0.990256, 0.990222, 0.990372,0.887556,0.182340,0.137732,0.119761
