Generation, BPA-R, BPA-S, BPA-T, BPA-P, WPA-R, WPA-S, WPA-T, WPA-P, AA-R, AA-S, AA-T, AA-P
0,0.024051, 0.008459, 0.015477, 0.011242,0.985558, 0.993040, 0.914119, 0.960462,0.530989,0.521262,0.471168,0.513503
25,0.998000, 0.134858, 0.214102, 0.583438,0.899552, 0.121970, 0.251310, 0.396291,0.987593,0.125533,0.229571,0.353599
50,0.997750, 0.088876, 0.101897, 0.521223,0.908553, 0.016653, 0.213081, 0.570193,0.985517,0.075973,0.138740,0.516172
75,0.997949, 0.066914, 0.023699, 0.648790,0.902144, 0.109135, 0.087209, 0.542034,0.991632,0.072130,0.103898,0.578891
100,0.998000, 0.002000, 0.096789, 0.757934,0.901489, 0.112606, 0.176339, 0.636889,0.990591,0.058663,0.069539,0.611509
125,0.998000, 0.040265, 0.002000, 0.638884,0.903218, 0.002000, 0.050087, 0.833870,0.989883,0.046217,0.045038,0.646190
150,0.997970, 0.035525, 0.044180, 0.639149,0.900265, 0.022374, 0.002000, 0.569457,0.992213,0.037386,0.042745,0.652420
175,0.997949, 0.029788, 0.037549, 0.705552,0.927175, 0.002000, 0.002000, 0.794216,0.995906,0.032967,0.037353,0.686150
200,0.997852, 0.030177, 0.039274, 0.700787,0.904727, 0.012889, 0.002000, 0.776992,0.992853,0.031570,0.033565,0.705041
225,0.997869, 0.024548, 0.029074, 0.733084,0.927428, 0.094657, 0.137434, 0.675452,0.989798,0.026425,0.031309,0.723705
250,0.997918, 0.019752, 0.035194, 0.732692,0.955871, 0.002000, 0.062393, 0.728198,0.992823,0.033842,0.029859,0.737646
275,0.997922, 0.025723, 0.029579, 0.733814,0.919640, 0.002000, 0.002000, 0.798758,0.994523,0.028245,0.027242,0.719672
300,0.997954, 0.020688, 0.013954, 0.799886,0.900323, 0.031021, 0.097202, 0.769488,0.990169,0.029558,0.034793,0.732292
325,0.997960, 0.015417, 0.026220, 0.870038,0.914717, 0.055644, 0.063673, 0.763454,0.994890,0.025557,0.027076,0.747307
350,0.997942, 0.016499, 0.021999, 0.776229,0.984546, 0.084223, 0.002000, 0.662811,0.996552,0.020153,0.023239,0.764622
375,0.997940, 0.017150, 0.022886, 0.764897,0.904090, 0.002000, 0.002000, 0.874518,0.992895,0.021621,0.028382,0.779426
400,0.997648, 0.016067, 0.020038, 0.790281,0.903035, 0.002000, 0.081989, 0.796670,0.993319,0.022442,0.030502,0.797808
425,0.997706, 0.015144, 0.019389, 0.794872,0.942310, 0.080829, 0.060383, 0.677775,0.989800,0.016480,0.019218,0.786892
450,0.997794, 0.013486, 0.015334, 0.756745,0.929815, 0.002000, 0.101632, 0.714377,0.989924,0.014688,0.025315,0.783664
475,0.997703, 0.013743, 0.019941, 0.791981,0.920098, 0.060076, 0.097224, 0.770391,0.994051,0.019910,0.022920,0.773447
500,0.997756, 0.013987, 0.017792, 0.776906,0.908773, 0.076996, 0.002000, 0.723230,0.994390,0.019297,0.020470,0.785204
525,0.997883, 0.010838, 0.019165, 0.794191,0.899368, 0.073886, 0.076901, 0.913238,0.990247,0.016729,0.019859,0.793884
550,0.997833, 0.011633, 0.016815, 0.789764,0.932128, 0.002000, 0.070677, 0.881742,0.992330,0.015664,0.020700,0.796912
575,0.997835, 0.011500, 0.016686, 0.791669,0.854715, 0.082674, 0.101686, 0.825394,0.987092,0.014689,0.021323,0.783946
600,0.997880, 0.008939, 0.023959, 0.778106,0.938880, 0.158694, 0.161409, 0.863111,0.990298,0.018573,0.026343,0.791397
625,0.997882, 0.012948, 0.016235, 0.784879,0.945397, 0.035916, 0.027055, 0.813092,0.993339,0.016023,0.018230,0.796119
650,0.997825, 0.010682, 0.016433, 0.797351,0.954747, 0.002000, 0.073534, 0.821584,0.992565,0.014269,0.020845,0.803255
675,0.997861, 0.012642, 0.013880, 0.808519,0.948610, 0.068995, 0.097832, 0.847680,0.992269,0.020252,0.024732,0.788282
